"Value","Timestamp"
"2.235714","2024-08-10T22:00:00.000Z"
"2.235714","2024-08-11T02:00:00.000Z"
"2.235714","2024-08-11T14:00:00.000Z"
"2.235714","2024-08-11T18:00:00.000Z"
"2.235714","2024-08-11T19:00:00.000Z"
"2.235714","2024-08-11T23:00:00.000Z"
"2.235714","2024-08-12T03:00:00.000Z"
"2.235714","2024-08-12T15:00:00.000Z"
"2.235714","2024-08-12T19:00:00.000Z"
"2.235714","2024-08-12T21:00:00.000Z"
"2.235714","2024-08-13T01:00:00.000Z"
"2.235714","2024-08-13T13:00:00.000Z"
"2.235714","2024-08-13T17:00:00.000Z"
"2.235714","2024-08-13T21:00:00.000Z"
"2.235714","2024-08-14T01:00:00.000Z"
"2.235714","2024-08-14T13:00:00.000Z"
"2.235714","2024-08-14T16:00:00.000Z"
"2.235714","2024-08-14T20:00:00.000Z"
"2.235714","2024-08-14T22:00:00.000Z"
"2.180769","2024-08-15T02:00:00.000Z"
"2.295118","2024-08-15T13:00:00.000Z"
"2.235714","2024-08-15T17:00:00.000Z"
"2.242208","2024-08-15T20:00:00.000Z"
"2.045238","2024-08-16T15:00:00.000Z"
"2.045238","2024-08-16T18:00:00.000Z"
"2.045238","2024-08-16T21:00:00.000Z"
"2.045238","2024-08-17T22:00:00.000Z"
"2.045238","2024-08-18T02:00:00.000Z"
"2.045238","2024-08-18T14:00:00.000Z"
"2.045238","2024-08-18T18:00:00.000Z"
"2.045238","2024-08-18T22:00:00.000Z"
"2.045238","2024-08-19T02:00:00.000Z"
"2.045238","2024-08-19T13:00:00.000Z"
"2.245455","2024-08-19T16:00:00.000Z"
"1.813636","2024-08-19T20:00:00.000Z"
"1.813636","2024-08-20T00:00:00.000Z"
"1.813636","2024-08-20T14:00:00.000Z"
"1.813636","2024-08-20T17:00:00.000Z"
"1.813636","2024-08-20T23:00:00.000Z"
"1.813636","2024-08-21T00:00:00.000Z"
"1.813636","2024-08-21T04:00:00.000Z"
"1.813636","2024-08-21T14:00:00.000Z"
"1.813636","2024-08-21T18:00:00.000Z"
"1.813636","2024-08-21T19:00:00.000Z"
"1.813636","2024-08-21T22:00:00.000Z"
"1.813636","2024-08-22T02:00:00.000Z"
"1.813636","2024-08-22T14:00:00.000Z"
"1.813636","2024-08-22T17:00:00.000Z"
"1.813636","2024-08-22T21:00:00.000Z"
"1.813636","2024-08-22T22:00:00.000Z"
"1.807143","2024-08-23T01:00:00.000Z"
"1.807143","2024-08-23T13:00:00.000Z"
"1.807143","2024-08-23T17:00:00.000Z"
"1.807143","2024-08-23T21:00:00.000Z"
"1.807143","2024-08-24T01:00:00.000Z"
"1.813636","2024-08-24T03:00:00.000Z"
"1.813636","2024-08-24T15:00:00.000Z"
"1.813636","2024-08-24T16:00:00.000Z"
"1.813636","2024-08-25T23:00:00.000Z"
"1.7673075","2024-08-26T00:00:00.000Z"
"1.7","2024-08-26T04:00:00.000Z"
"1.7","2024-08-26T14:00:00.000Z"
"1.7","2024-08-26T18:00:00.000Z"
"1.75","2024-08-26T20:00:00.000Z"
"1.75","2024-08-27T00:00:00.000Z"
"1.75","2024-08-27T02:00:00.000Z"
