"Value","Timestamp"
"804.071429","2024-03-14T04:00:00.000Z"
"804.071429","2024-03-14T20:58:00.000Z"
"769.730769","2024-03-15T04:00:00.000Z"
"769.730769","2024-03-15T20:58:00.000Z"
"808.192308","2024-03-16T04:00:00.000Z"
"808.192308","2024-03-16T20:58:00.000Z"
"783.833333","2024-03-17T04:00:00.000Z"
"783.833333","2024-03-17T20:58:00.000Z"
"783.833333","2024-03-18T04:00:00.000Z"
"783.833333","2024-03-18T20:58:00.000Z"
"806.055556","2024-03-19T04:00:00.000Z"
"806.055556","2024-03-19T20:58:00.000Z"
"750.5","2024-03-20T04:00:00.000Z"
"750.5","2024-03-20T20:58:00.000Z"
"614.136364","2024-03-21T04:00:00.000Z"
"614.136364","2024-03-21T20:58:00.000Z"
"625.5","2024-03-22T04:00:00.000Z"
"625.5","2024-03-22T20:58:00.000Z"
"604.666667","2024-03-23T04:00:00.000Z"
"604.666667","2024-03-23T20:58:00.000Z"
"625.5","2024-03-24T04:00:00.000Z"
"625.5","2024-03-24T20:58:00.000Z"
"625.5","2024-03-25T04:00:00.000Z"
"625.5","2024-03-25T20:58:00.000Z"
"591.409091","2024-03-26T04:00:00.000Z"
"591.409091","2024-03-26T20:58:00.000Z"
"688","2024-03-27T04:00:00.000Z"
"688","2024-03-27T20:58:00.000Z"
"667.166667","2024-03-28T04:00:00.000Z"
"667.166667","2024-03-28T20:58:00.000Z"
"705.045455","2024-03-29T04:00:00.000Z"
"705.045455","2024-03-29T20:58:00.000Z"
"847.722222","2024-03-30T04:00:00.000Z"
"847.722222","2024-03-30T20:58:00.000Z"
"825.5","2024-03-31T04:00:00.000Z"
"825.5","2024-03-31T20:58:00.000Z"
"829.447368","2024-04-01T04:00:00.000Z"
"829.447368","2024-04-01T20:58:00.000Z"
"797.375","2024-04-02T04:00:00.000Z"
"797.375","2024-04-02T20:58:00.000Z"
"794.617647","2024-04-03T04:00:00.000Z"
"794.617647","2024-04-03T20:58:00.000Z"
"794.617647","2024-04-04T04:00:00.000Z"
"794.617647","2024-04-04T20:58:00.000Z"
"829.447368","2024-04-05T04:00:00.000Z"
"829.447368","2024-04-05T20:58:00.000Z"
"833.833333","2024-04-06T04:00:00.000Z"
"833.833333","2024-04-06T20:58:00.000Z"
"800.5","2024-04-07T04:00:00.000Z"
"800.5","2024-04-07T20:58:00.000Z"
"838.735294","2024-04-08T04:00:00.000Z"
"838.735294","2024-04-08T20:58:00.000Z"
"850.5","2024-04-09T04:00:00.000Z"
"850.5","2024-04-09T20:58:00.000Z"
"868.147059","2024-04-10T04:00:00.000Z"
"868.147059","2024-04-10T20:58:00.000Z"
"865.884615","2024-04-11T04:00:00.000Z"
"865.884615","2024-04-11T20:58:00.000Z"
"897.558824","2024-04-12T04:00:00.000Z"
"897.558824","2024-04-12T20:58:00.000Z"
"838.735294","2024-04-13T04:00:00.000Z"
"838.735294","2024-04-13T20:58:00.000Z"
"863","2024-04-14T04:00:00.000Z"
"863","2024-04-14T20:58:00.000Z"
