"Market","Forecast","Timestamp"
"Will less than 56937 students apply to Harvard this year?","60.00%","2023-12-07T01:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","60.00%","2023-12-07T02:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","60.00%","2023-12-07T03:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","60.00%","2023-12-07T04:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","60.00%","2023-12-07T05:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","60.00%","2023-12-07T06:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","60.00%","2023-12-07T07:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","60.00%","2023-12-07T14:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","60.00%","2023-12-07T15:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","50.00%","2023-12-07T16:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","50.00%","2023-12-07T17:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","50.00%","2023-12-07T18:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","55.00%","2023-12-07T19:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","55.00%","2023-12-07T20:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","55.00%","2023-12-07T21:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","55.00%","2023-12-07T22:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","52.00%","2023-12-07T23:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","52.00%","2023-12-08T00:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","52.00%","2023-12-08T01:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","52.00%","2023-12-08T02:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","52.00%","2023-12-08T03:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","52.00%","2023-12-08T04:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","52.00%","2023-12-08T05:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","52.00%","2023-12-08T06:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","52.00%","2023-12-08T07:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","52.00%","2023-12-08T14:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","35.00%","2023-12-08T15:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","35.00%","2023-12-08T16:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","35.00%","2023-12-08T17:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","35.00%","2023-12-08T18:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","42.50%","2023-12-08T19:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","42.50%","2023-12-08T20:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","42.50%","2023-12-08T21:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","42.50%","2023-12-08T22:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","42.50%","2023-12-08T23:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","42.50%","2023-12-09T00:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","42.50%","2023-12-09T01:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","42.50%","2023-12-09T02:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","42.50%","2023-12-09T03:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","42.50%","2023-12-09T04:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","42.50%","2023-12-09T05:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","42.50%","2023-12-09T06:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","42.50%","2023-12-09T07:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","42.50%","2023-12-09T14:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","42.50%","2023-12-09T15:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","42.50%","2023-12-09T16:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","42.50%","2023-12-09T17:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","42.50%","2023-12-09T18:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","42.50%","2023-12-09T19:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","42.50%","2023-12-09T20:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","42.50%","2023-12-09T21:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","42.50%","2023-12-09T22:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","42.50%","2023-12-09T23:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","42.50%","2023-12-10T00:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","42.50%","2023-12-10T01:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","42.50%","2023-12-10T02:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","42.50%","2023-12-10T03:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","42.50%","2023-12-10T04:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","42.50%","2023-12-10T05:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","42.50%","2023-12-10T06:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","42.50%","2023-12-10T07:00:00.000Z"
"Will less than 56937 students apply to Harvard this year?","42.50%","2023-12-10T14:00:00.000Z"
