test,p_value,is_normal,ticker,is_white_noise,is_homoskedastic,mean,sd,skewness,kurtosis
Shapiro-Wilk,7.127016180063461e-64,FALSE,AAPL,NA,NA,NA,NA,NA,NA
Ljung-Box,0.9552634068023342,NA,AAPL,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,0.006952249471121988,NA,AAPL,NA,FALSE,NA,NA,NA,NA
NA,NA,NA,AAPL,NA,NA,1.2191750738509563e-4,0.004872587331906417,2.2498252741088396,71.00682597882313
Shapiro-Wilk,8.489232943716833e-61,FALSE,AMZN,NA,NA,NA,NA,NA,NA
Ljung-Box,0.9785373136305976,NA,AMZN,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,0.06393770092563604,NA,AMZN,NA,TRUE,NA,NA,NA,NA
NA,NA,NA,AMZN,NA,NA,-3.38002845003194e-5,0.005504619075631187,0.32367159121089295,25.117436105147867
Shapiro-Wilk,1.1852610444050387e-61,FALSE,BAC,NA,NA,NA,NA,NA,NA
Ljung-Box,0.9107954991970257,NA,BAC,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,0.022474672165901148,NA,BAC,NA,FALSE,NA,NA,NA,NA
NA,NA,NA,BAC,NA,NA,1.1945277405776082e-4,0.004923340998856672,0.6363621947814521,27.913510921638736
Shapiro-Wilk,1.334790756984141e-61,FALSE,COIN,NA,NA,NA,NA,NA,NA
Ljung-Box,0.9651261892841022,NA,COIN,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,2.866939823040479e-4,NA,COIN,NA,FALSE,NA,NA,NA,NA
NA,NA,NA,COIN,NA,NA,5.8681138073942954e-5,0.019788526651210236,0.47736243644303394,28.944737109025105
Shapiro-Wilk,1.3456459831586865e-64,FALSE,GOOG,NA,NA,NA,NA,NA,NA
Ljung-Box,0.9262992120864906,NA,GOOG,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,0.021225873065491348,NA,GOOG,NA,FALSE,NA,NA,NA,NA
NA,NA,NA,GOOG,NA,NA,-1.5296736786527833e-6,0.005184079803752378,-0.8384615168458304,26.070569202146714
Shapiro-Wilk,2.4081154130878537e-60,FALSE,INTC,NA,NA,NA,NA,NA,NA
Ljung-Box,0.7136793394527157,NA,INTC,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,0.6920473959937685,NA,INTC,NA,TRUE,NA,NA,NA,NA
NA,NA,NA,INTC,NA,NA,-1.6956847024845835e-4,0.008846023857538928,0.1610912523717507,39.72688257312996
