test,p_value,is_normal,ticker,is_white_noise,is_homoskedastic,mean,sd,skewness,kurtosis
Shapiro-Wilk,7.849050584115024e-55,FALSE,AAPL,NA,NA,NA,NA,NA,NA
Ljung-Box,0.9454670851657175,NA,AAPL,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,0.2364562128656665,NA,AAPL,NA,TRUE,NA,NA,NA,NA
NA,NA,NA,AAPL,NA,NA,6.664016961275574e-5,0.005423136315400355,2.3739906533031006,61.18604557135237
Shapiro-Wilk,5.138602751537664e-52,FALSE,AMZN,NA,NA,NA,NA,NA,NA
Ljung-Box,0.9872868460823084,NA,AMZN,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,0.9248775795327978,NA,AMZN,NA,TRUE,NA,NA,NA,NA
NA,NA,NA,AMZN,NA,NA,-6.18600013813131e-5,0.005985738992100849,0.3758172724639484,22.107426078133482
Shapiro-Wilk,2.5585636665990577e-53,FALSE,BAC,NA,NA,NA,NA,NA,NA
Ljung-Box,0.9216430199000322,NA,BAC,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,0.007294794751121423,NA,BAC,NA,FALSE,NA,NA,NA,NA
NA,NA,NA,BAC,NA,NA,9.61405947486842e-5,0.005070607166431133,0.6699441795385924,25.90857318980333
Shapiro-Wilk,3.9249823891861886e-52,FALSE,COIN,NA,NA,NA,NA,NA,NA
Ljung-Box,0.5825793690140836,NA,COIN,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,1.2544665450004005e-4,NA,COIN,NA,FALSE,NA,NA,NA,NA
NA,NA,NA,COIN,NA,NA,-1.9265506821458314e-4,0.021048922313301292,0.5799762175548719,25.304034409274145
Shapiro-Wilk,1.2944337717801302e-56,FALSE,GOOG,NA,NA,NA,NA,NA,NA
Ljung-Box,0.944921477492427,NA,GOOG,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,0.011393968694185222,NA,GOOG,NA,FALSE,NA,NA,NA,NA
NA,NA,NA,GOOG,NA,NA,3.49414627602675e-6,0.005414516182757171,-0.6339542721411829,23.57537403122353
Shapiro-Wilk,5.1971308133584775e-52,FALSE,INTC,NA,NA,NA,NA,NA,NA
Ljung-Box,0.9245038825899765,NA,INTC,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,0.14000168907515564,NA,INTC,NA,TRUE,NA,NA,NA,NA
NA,NA,NA,INTC,NA,NA,-8.738921297564757e-6,0.009411591207999287,0.021443185260839496,38.71875503888285
Shapiro-Wilk,1.3690482260301927e-59,FALSE,JNJ,NA,NA,NA,NA,NA,NA
Ljung-Box,0.9969801583701845,NA,JNJ,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,0.1873417024643083,NA,JNJ,NA,TRUE,NA,NA,NA,NA
NA,NA,NA,JNJ,NA,NA,-1.0530452842693053e-5,0.003897714180391891,-0.6746565876203049,34.10689710309204
Shapiro-Wilk,1.5546403918199009e-56,FALSE,JPM,NA,NA,NA,NA,NA,NA
Ljung-Box,0.9275211531674453,NA,JPM,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,0.8141408174799161,NA,JPM,NA,TRUE,NA,NA,NA,NA
NA,NA,NA,JPM,NA,NA,5.341841530306973e-5,0.005140928675323375,-0.05829322670786576,58.86500786195695
Shapiro-Wilk,1.3829516281854884e-52,FALSE,META,NA,NA,NA,NA,NA,NA
Ljung-Box,0.9420011384565236,NA,META,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,0.07314541336735694,NA,META,NA,TRUE,NA,NA,NA,NA
NA,NA,NA,META,NA,NA,4.8988545498628174e-5,0.007386022639656674,-0.16657777309014393,30.534298770865156
Shapiro-Wilk,1.5911580981246766e-52,FALSE,MSFT,NA,NA,NA,NA,NA,NA
Ljung-Box,0.9483962190798007,NA,MSFT,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,0.003660760134056823,NA,MSFT,NA,FALSE,NA,NA,NA,NA
NA,NA,NA,MSFT,NA,NA,7.26095589038367e-6,0.004683328991254451,0.04105272019336419,22.258585573725263
Shapiro-Wilk,1.5131094168797294e-52,FALSE,NFLX,NA,NA,NA,NA,NA,NA
Ljung-Box,0.8239604132688503,NA,NFLX,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,4.392334939139266e-4,NA,NFLX,NA,FALSE,NA,NA,NA,NA
NA,NA,NA,NFLX,NA,NA,7.491480558231222e-5,0.0063639599668864205,-0.03569113710685245,30.686078328182646
Shapiro-Wilk,2.1280090550679904e-52,FALSE,NVDA,NA,NA,NA,NA,NA,NA
Ljung-Box,0.981015584888597,NA,NVDA,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,0.9637096413808266,NA,NVDA,NA,TRUE,NA,NA,NA,NA
NA,NA,NA,NVDA,NA,NA,-2.6948858094098348e-5,0.013359096844755013,0.00666088716230127,25.26811028189233
Shapiro-Wilk,8.253501916219812e-53,FALSE,PFE,NA,NA,NA,NA,NA,NA
Ljung-Box,0.7466270788724408,NA,PFE,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,3.0594835538017744e-4,NA,PFE,NA,FALSE,NA,NA,NA,NA
NA,NA,NA,PFE,NA,NA,2.4668726590696624e-5,0.005778134200608426,-0.186615533354166,28.25442247423646
Shapiro-Wilk,3.968983014931594e-52,FALSE,TSLA,NA,NA,NA,NA,NA,NA
Ljung-Box,0.919245268660604,NA,TSLA,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,0.5293822083201283,NA,TSLA,NA,TRUE,NA,NA,NA,NA
NA,NA,NA,TSLA,NA,NA,2.3515989148487093e-4,0.013028260485387314,0.39890167796365555,27.133150633894132
Shapiro-Wilk,6.701550949689675e-53,FALSE,WMT,NA,NA,NA,NA,NA,NA
Ljung-Box,0.8742254443681527,NA,WMT,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,4.461515625962851e-4,NA,WMT,NA,FALSE,NA,NA,NA,NA
NA,NA,NA,WMT,NA,NA,8.888538889281084e-5,0.003708779573009078,0.04672696980075818,26.500621310284455
Shapiro-Wilk,9.668334668623744e-54,FALSE,XOM,NA,NA,NA,NA,NA,NA
Ljung-Box,0.26044414108877745,NA,XOM,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,0.05961903405660797,NA,XOM,NA,TRUE,NA,NA,NA,NA
NA,NA,NA,XOM,NA,NA,-1.611827888979489e-5,0.004996607593667998,-1.1978207724340197,31.485427162664628
Shapiro-Wilk,4.438994541473392e-53,FALSE,SPY,NA,NA,NA,NA,NA,NA
Ljung-Box,0.9590063801439516,NA,SPY,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,0.767978427145079,NA,SPY,NA,TRUE,NA,NA,NA,NA
NA,NA,NA,SPY,NA,NA,1.0658143559361936e-4,0.0035980177710907887,0.8111657305442357,28.354045921772677
Shapiro-Wilk,5.222432803299695e-56,FALSE,IWDA.AS,NA,NA,NA,NA,NA,NA
Ljung-Box,0.6766604051020513,NA,IWDA.AS,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,0.5536836818658004,NA,IWDA.AS,NA,TRUE,NA,NA,NA,NA
NA,NA,NA,IWDA.AS,NA,NA,5.3678424316307917e-5,0.0030267828190025914,0.38193984764715844,36.87828737126432
Shapiro-Wilk,2.0280631796905774e-53,FALSE,QQQ,NA,NA,NA,NA,NA,NA
Ljung-Box,0.9905410275322796,NA,QQQ,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,0.7126349559304298,NA,QQQ,NA,TRUE,NA,NA,NA,NA
NA,NA,NA,QQQ,NA,NA,9.0483359561318715e-05,0.0052805788867221655,0.10326105148551898,27.733979765469645
