test,p_value,is_normal,series_name,is_homoskedastic,has_break,n_outliers,percentage
Shapiro-Wilk,1.224657600131824e-9,FALSE,AAPL,NA,NA,NA,NA
Breusch-Pagan,0.7940437042513658,NA,AAPL,TRUE,NA,NA,NA
Chow,0.6788281987728202,NA,AAPL,NA,FALSE,NA,NA
IQR,NA,NA,AAPL,NA,NA,10,4.366812227074235
Shapiro-Wilk,0.6091094918038115,TRUE,AMZN,NA,NA,NA,NA
Breusch-Pagan,0.027102219435825664,NA,AMZN,FALSE,NA,NA,NA
Chow,0.5526642942661559,NA,AMZN,NA,FALSE,NA,NA
IQR,NA,NA,AMZN,NA,NA,3,1.3100436681222707
Shapiro-Wilk,0.06544090169727843,TRUE,BAC,NA,NA,NA,NA
Breusch-Pagan,0.5056936437275049,NA,BAC,TRUE,NA,NA,NA
Chow,0.6680508273117836,NA,BAC,NA,FALSE,NA,NA
IQR,NA,NA,BAC,NA,NA,4,1.7467248908296942
Shapiro-Wilk,0.03725519599333087,FALSE,COIN,NA,NA,NA,NA
Breusch-Pagan,0.5429990841156356,NA,COIN,TRUE,NA,NA,NA
Chow,0.6323074415501256,NA,COIN,NA,FALSE,NA,NA
IQR,NA,NA,COIN,NA,NA,5,2.1834061135371177
Shapiro-Wilk,0.0010865786952364395,FALSE,GOOG,NA,NA,NA,NA
Breusch-Pagan,0.1683732125472956,NA,GOOG,TRUE,NA,NA,NA
Chow,0.72462941412579,NA,GOOG,NA,FALSE,NA,NA
IQR,NA,NA,GOOG,NA,NA,4,1.762114537444934
Shapiro-Wilk,0.052480931074398954,TRUE,INTC,NA,NA,NA,NA
Breusch-Pagan,0.009381636574088156,NA,INTC,FALSE,NA,NA,NA
Chow,0.5494062692433064,NA,INTC,NA,FALSE,NA,NA
IQR,NA,NA,INTC,NA,NA,9,3.9647577092511015
Shapiro-Wilk,0.028228440068822136,FALSE,JNJ,NA,NA,NA,NA
Breusch-Pagan,0.1064999301298072,NA,JNJ,TRUE,NA,NA,NA
Chow,0.046068263372025076,NA,JNJ,NA,TRUE,NA,NA
IQR,NA,NA,JNJ,NA,NA,7,3.0837004405286343
Shapiro-Wilk,6.693580241569434e-8,FALSE,JPM,NA,NA,NA,NA
Breusch-Pagan,0.0543689476187145,NA,JPM,TRUE,NA,NA,NA
Chow,0.38280701430021746,NA,JPM,NA,FALSE,NA,NA
IQR,NA,NA,JPM,NA,NA,11,4.845814977973569
Shapiro-Wilk,0.01911637396565774,FALSE,META,NA,NA,NA,NA
Breusch-Pagan,0.8585986779063192,NA,META,TRUE,NA,NA,NA
Chow,0.8635362671720539,NA,META,NA,FALSE,NA,NA
IQR,NA,NA,META,NA,NA,6,2.643171806167401
Shapiro-Wilk,0.010166796109114574,FALSE,MSFT,NA,NA,NA,NA
Breusch-Pagan,0.5784282148843931,NA,MSFT,TRUE,NA,NA,NA
